"","NMDS1","NMDS2","Species","pval"
"Antocha",-0.834521758554002,0.375530994642087,"Antocha",0.001
"Arctopsyche",-0.870099965156718,0.27527555687445,"Arctopsyche",0.001
"Attenella.margarita",0.466181743684662,0.732606741895936,"Attenella.margarita",0.001
"Baetis.alius",0.342567437369314,0.813148269530075,"Baetis.alius",0.001
"Brillia",0.802276046419987,-0.12742693427356,"Brillia",0.001
"Caudatella.edmundsi",-0.78551519001784,-0.209107367887598,"Caudatella.edmundsi",0.001
"Caudatella.hystrix",-0.789052843285742,-0.116586375790947,"Caudatella.hystrix",0.001
"Cinygma",0.102798579506994,-0.818958455835814,"Cinygma",0.001
"Cladotanytarsus",-0.279832503472049,-0.758813722061645,"Cladotanytarsus",0.001
"Corynoneura",0.7799477147258,-0.00759584735747065,"Corynoneura",0.001
"Cricotopus..Nostococladius.",-0.841867950113781,0.357499190790001,"Cricotopus..Nostococladius.",0.001
"Diphetor.hageni",-0.252351793967289,-0.754722422275841,"Diphetor.hageni",0.001
"Ephemerella.excrucians.group",-0.69268014814581,-0.498190759677966,"Ephemerella.excrucians.group",0.001
"Ephemerella.tibialis",0.466582777418758,0.796719589310308,"Ephemerella.tibialis",0.001
"Eukiefferiella.brehmi.group",-0.684285089068469,0.437784451910796,"Eukiefferiella.brehmi.group",0.001
"Eukiefferiella.devonica.group",-0.691409421864835,0.39783361481992,"Eukiefferiella.devonica.group",0.001
"Glossosoma",-0.757350651050398,0.175894681657861,"Glossosoma",0.001
"Heterotrissocladius.marcidus.group",0.85663900873914,-0.383064452817717,"Heterotrissocladius.marcidus.group",0.001
"Hydropsyche",-0.608931854985144,0.446055454172208,"Hydropsyche",0.001
"Hydroptila",-0.305973820905363,-0.669334333280108,"Hydroptila",0.001
"Ironodes",-0.0461428456545445,-0.749110096276419,"Ironodes",0.001
"Juga",-0.627855060022835,0.55389025561468,"Juga",0.001
"Labiobaetis",0.622265687279585,-0.586584623389369,"Labiobaetis",0.001
"Lebertia",-0.33124207048113,0.579623142162301,"Lebertia",0.001
"Lepidostoma..Neodinarthrum.",-0.554782203535523,-0.579033862790704,"Lepidostoma..Neodinarthrum.",0.001
"Malenka",0.72818942451039,0.294157479077083,"Malenka",0.001
"Matriella.teresa",0.366502470485789,0.855208700111731,"Matriella.teresa",0.001
"Neoplasta",-0.562647631486982,-0.690288044730561,"Neoplasta",0.001
"Orthocladius",-0.70177083122983,0.403692877006033,"Orthocladius",0.001
"Pentaneura",0.68488559499114,0.466223818762486,"Pentaneura",0.001
"Polycelis",-0.687034277841688,0.404869354477401,"Polycelis",0.001
"Polypedilum",0.839953135640252,-0.205584268807979,"Polypedilum",0.001
"Pteronarcys.californica",-0.747596948802188,0.291497806909915,"Pteronarcys.californica",0.001
"Serratella.micheneri",0.440128892283086,0.742498272279537,"Serratella.micheneri",0.001
"Sperchon",-0.528648269095766,0.681175183652725,"Sperchon",0.001
"Sweltsa",-0.789154707377345,-0.0271804525008214,"Sweltsa",0.001
"Timpanoga.hecuba",0.4027223914691,0.806964710373302,"Timpanoga.hecuba",0.001
