taxon,annual_P
Ameletus,2.191422839
Baetis alius,766.7756242
Baetis tricaudatus complex,2611.538325
Diphetor hageni,18.40915757
Micrasema,315.8054859
Chironomidae,81.36050372
Micropsectra,9.003633959
Sublettea,2.232666936
Cricotopus (Nostococladius),29.88226382
Eukiefferiella brehmi group,5.189482407
Eukiefferiella devonica group,17.58023475
Orthocladius,657.2595914
Tvetenia bavarica group,9.208595016
Thienemannimyia complex,280.1293147
Chloroperlidae,38.07889983
Sweltsa,48.40052893
Wiedemannia,17.41859517
Attenella margarita,70.05734166
Caudatella edmundsi,125.6372834
Drunella flavilinea,336.8987132
Ephemerella excrucians group,1591.991322
Serratella micheneri,375.6437738
Glossosoma,52.44616998
Cinygmula,91.94743243
Epeorus,32.65887684
Epeorus albertae group,188.9944099
Arctopsyche,333.1876635
Hydropsyche,3587.198487
Neoleptophlebia/Paraleptophlebia,28.19699711
Nemata,53.74337029
Malenka,20.05646423
Oligochaeta,107.7878756
Ostracoda,2.129816677
Hesperoperla pacifica,903.2993204
Cultus,100.9868868
Isoperla,22.84338265
Osobenus yakimae,95.16914214
Skwala,1224.528573
Menetus,10.51791114
Juga,655.5006301
Pteronarcys californica,716.6007683
Rhyacophila brunnea/vemna group,172.9812362
Antocha,138.0838611
