NMDS1,NMDS2,Site,Season,Treatment
-0.221359317,-0.124336008,MainChan,Fall,Restored
0.039433334,-0.032063766,MainChan,Spring,Restored
0.388361856,0.402558318,MainChan,Summer,Restored
-0.266544024,-0.182710904,MainChan,Winter,Restored
0.296124191,-0.377168028,WetForest,Fall,Restored
0.463468393,-0.335007239,WetForest,Spring,Restored
0.526842872,0.19152919,WetForest,Summer,Restored
0.080383793,-0.452169225,WetForest,Winter,Restored
-0.249832181,0.034021048,ReferenceA,Fall,Unrestored
-0.132560986,0.196351871,ReferenceA,Spring,Unrestored
0.005723261,0.397747307,ReferenceA,Summer,Unrestored
-0.37101518,-0.023913986,ReferenceA,Winter,Unrestored
-0.36807965,0.035288651,ReferenceB,Fall,Unrestored
-0.254478501,0.265406962,ReferenceB,Spring,Unrestored
-0.042842525,0.417413597,ReferenceB,Summer,Unrestored
-0.487509707,-0.002633382,ReferenceB,Winter,Unrestored
0.096362365,-0.208099307,SideChan,Fall,Restored
0.193952,-0.113550313,SideChan,Spring,Restored
0.39163431,0.262401787,SideChan,Summer,Restored
-0.088064304,-0.351066573,SideChan,Winter,Restored
